127.0.0.1 - - [25/Nov/2021:18:42:04 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:42:12 +0900] "GET /lefthand/img/facebook.jpg HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:42:12 +0900] "GET /lefthand/js/mainPage_scroll.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:42:12 +0900] "GET /lefthand/img/twitter.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:42:12 +0900] "GET /lefthand/page/product/img/a101_info_1.jpg HTTP/1.1" 200 66844
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:42:12 +0900] "GET /lefthand/page/product/img/a102_info_1.jpg HTTP/1.1" 200 29482
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:42:12 +0900] "GET /lefthand/page/product/img/a103_info_1.jpg HTTP/1.1" 200 36717
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:46 +0900] "GET /lefthand/chal_list.chal HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/pdt_list.pdt HTTP/1.1" 200 8960
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/css/mainLayout.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/js/mainSlide.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/css/mainSlide.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/js/mainPage_scroll.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/img/search_btn.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/js/mainSlide.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/img/instagram.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/js/mainPage_scroll.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/img/facebook.jpg HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/img/twitter.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/page/product/img/a101_info_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/page/product/img/a102_info_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/page/product/img/a103_info_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/img/logo_long.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:52 +0900] "GET /lefthand/css/img/header/topnavi_bar.gif HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/mainPage.jsp HTTP/1.1" 200 10973
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/js/mainSlide.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/css/mainSlide.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/js/mainPage_scroll.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/css/mainLayout.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/search_btn.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/js/mainSlide.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/instagram.png HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/facebook.jpg HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/js/mainPage_scroll.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/twitter.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/slide-3.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/slide-2.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/slide-1.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%841.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/slide-4.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%843.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%844.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%841.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/%EB%84%A3%EC%9D%84%EC%82%AC%EC%A7%84.jsp HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/%EB%8F%84%EC%A0%84%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%841.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [25/Nov/2021:18:57:54 +0900] "GET /lefthand/img/%EB%8F%84%EC%A0%84%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/mainPage.jsp HTTP/1.1" 200 10973
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/css/mainSlide.css HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/css/mainLayout.css HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/js/mainPage_scroll.js HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/js/mainSlide.js HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/instagram.png HTTP/1.1" 200 107766
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/search_btn.png HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/twitter.png HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/facebook.jpg HTTP/1.1" 200 24494
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/slide-1.png HTTP/1.1" 200 3978386
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/slide-2.png HTTP/1.1" 200 987817
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/slide-4.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/slide-3.png HTTP/1.1" 200 586959
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%841.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%841.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%844.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%843.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/%EB%8F%84%EC%A0%84%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%841.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/%EB%8F%84%EC%A0%84%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/%EB%84%A3%EC%9D%84%EC%82%AC%EC%A7%84.jsp HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/css/img/header/topnavi_bar.gif HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/sprites.png HTTP/1.1" 200 2656
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:06 +0900] "GET /lefthand/img/sprites2.png HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:11 +0900] "GET /lefthand/pdt_list.pdt HTTP/1.1" 200 8960
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:00:11 +0900] "GET /lefthand/css/img/header/topnavi_bar.gif HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:02:31 +0900] "GET /lefthand/pdt_list.pdt HTTP/1.1" 500 3351
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:02:31 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/mainPage.jsp HTTP/1.1" 200 11121
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/css/mainSlide.css HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/css/mainLayout.css HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/css/base.css HTTP/1.1" 200 2018
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/css/reset.css HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/css/footer.css HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 200 35029
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/js/mainSlide.js HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/js/mainPage_scroll.js HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/search_btn.png HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/logo.png HTTP/1.1" 200 13544
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/facebook.jpg HTTP/1.1" 200 24494
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/instagram.png HTTP/1.1" 200 107766
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/twitter.png HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/slide-2.png HTTP/1.1" 200 987817
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/slide-3.png HTTP/1.1" 200 586959
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/slide-1.png HTTP/1.1" 200 3978386
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/slide-4.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%841.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%844.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%841.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/%EC%83%81%ED%92%88%EC%82%AC%EC%A7%843.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/%EB%8F%84%EC%A0%84%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/%EB%8F%84%EC%A0%84%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%841.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/%ED%8E%80%EB%94%A9%EC%82%AC%EC%A7%842.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/sprites.png HTTP/1.1" 200 2656
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/%EB%84%A3%EC%9D%84%EC%82%AC%EC%A7%84.jsp HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/header/topnavi_bar.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/logo_long.png HTTP/1.1" 200 4385
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:04 +0900] "GET /lefthand/img/sprites2.png HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [25/Nov/2021:19:09:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
