0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:18 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:18 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:18 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /css/reset.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:55:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:17 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:17 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:17 +0900] "GET /css/reset.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:17 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:17 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:17 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:17 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:17 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:17 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:34 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:34 +0900] "GET /css/reset.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:34 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:34 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:34 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:34 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:34 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:34 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:34 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:48 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:48 +0900] "GET /css/reset.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:48 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:48 +0900] "GET /css/footer.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:48 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:48 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:48 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:48 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:15:57:48 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:37 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:37 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:37 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:37 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:37 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:37 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:55 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:55 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:55 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:55 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:55 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:00:55 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:02:48 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3181
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:02:48 +0900] "GET /css/reset.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:02:48 +0900] "GET /css/header.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:02:48 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:02:48 +0900] "GET /img/Instagram.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:02:48 +0900] "GET /img/facebook.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:02:48 +0900] "GET /img/logo_long.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:02:48 +0900] "GET /img/twitter.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:05:17 +0900] "GET /lefthand/index.jsp HTTP/1.1" 200 3069
0:0:0:0:0:0:0:1 - - [18/Nov/2021:16:05:17 +0900] "GET /img/logo.png HTTP/1.1" 404 1090
